Name,Year,Price,Car_Age
Hyundai Elantra 2.0 SX Option AT,2014,8.85,11
Toyota Corolla Altis G AT,2016,10.11,9
Hyundai Elantra CRDi,2008,4.25,17
Toyota Innova Crysta 2.7 GX MT,2012,10.95,13
Hyundai Xcent 1.1 CRDi S,2014,3.85,11
Mahindra Thar CRDe AC,2012,5.5,13
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,21.43,10
Maruti Swift LDI,2014,4.25,11
Maruti Swift Ldi BSIV,2014,3.3,11
Maruti Swift VDI,2013,3.85,12
Hyundai Grand i10 Sportz,2015,3.6,10
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,3.99,10
Renault KWID RXT,2017,3.3,8
Hyundai i10 Asta,2010,2.07,15
Nissan X-Trail SLX AT,2010,7.75,15
Maruti Zen Estilo VXI BSIII,2010,2.25,15
Toyota Innova Crysta 2.4 GX MT 8S,2017,16.5,8
Ford Figo Diesel Titanium,2010,2.75,15
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,26.7,10
Mercedes-Benz New C-Class 200 CDI Classic,2011,10.0,14
Tata Indica V2 eLS,2016,2.5,9
Audi A4 2.0 TDI Multitronic,2012,13.5,13
Honda City ZX CVT,2007,1.85,18
Mercedes-Benz C-Class Progressive C 220d,2019,35.67,6
Maruti Ertiga SHVS VDI,2016,8.15,9
Hyundai Creta 1.4 E Plus Diesel,2018,10.5,7
Porsche Cayenne 2009-2014 Turbo,2008,14.5,17
Mahindra XUV500 W8 4WD,2015,9.65,10
Hyundai i10 Sportz 1.2 AT,2012,3.48,13
Nissan Terrano XV D Pre,2015,6.92,10
Honda Brio VX AT,2016,6.46,9
Audi A6 2.0 TDI Design Edition,2014,29.5,11
Toyota Innova 2.0 G1,2006,4.5,19
Toyota Innova 2.5 VX 7 STR BSIV,2012,11.75,13
Maruti Swift VDI,2012,3.75,13
Tata Zest Revotron 1.2T XE,2017,4.5,8
Honda Amaze SX i-VTEC,2016,4.82,9
Ford Figo Diesel ZXI,2012,2.8,13
Maruti Ritz VDi,2013,3.11,12
Honda City i VTEC E,2009,3.25,16
BMW 5 Series 2003-2012 525d,2011,13.9,14
Hyundai i10 Sportz 1.2,2009,2.25,16
Hyundai Grand i10 Sportz,2016,5.75,9
Honda Amaze SX i-VTEC,2016,5.0,9
Toyota Fortuner 4x2 Manual,2014,16.5,11
Audi A6 2011-2015 35 TDI Premium,2018,39.58,7
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,5.5,12
Mahindra XUV500 W8 2WD,2014,8.1,11
Honda Amaze SX i-DTEC,2015,3.5,10
Volkswagen Polo Diesel Highline 1.2L,2013,2.79,12
Hyundai Verna Transform SX VGT CRDi,2010,3.45,15
Maruti Wagon R VXI BS IV,2016,4.45,9
Volkswagen Polo Petrol Highline 1.6L,2010,2.65,15
Hyundai i20 1.4 CRDi Sportz,2011,3.8,14
Hyundai i20 Asta 1.2,2014,4.65,11
Datsun GO Plus T Petrol,2017,3.95,8
Audi A4 3.0 TDI Quattro Premium,2010,9.8,15
Hyundai i20 2015-2017 Asta,2009,2.7,16
Maruti Omni 5 Str STD,2010,2.41,15
Toyota Etios Liva 1.2 G,2014,3.9,11
Jaguar XF 3.0 Litre S Premium Luxury,2011,24.0,14
Mahindra XUV500 W8 2WD,2012,5.75,13
Hyundai Verna 1.6 SX CRDI (O) AT,2014,5.25,11
Toyota Innova Crysta 2.8 ZX AT,2017,19.25,8
Maruti Eeco 5 Seater AC,2017,3.91,8
Tata Nano Twist XT,2014,2.15,11
BMW 3 Series 320d Luxury Line,2015,20.75,10
Honda Civic 2006-2010 1.8 V MT,2010,3.35,15
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,11.11,11
Volvo V40 Cross Country D3,2014,20.0,11
Nissan Micra XV CVT,2016,6.55,9
BMW 5 Series 2010-2013 525i,2009,7.0,16
Maruti Vitara Brezza VDi,2016,7.5,9
Mercedes-Benz B Class B200 CDI,2014,16.75,11
Hyundai Verna CRDi 1.6 SX Option,2018,10.95,7
Maruti Wagon R LXI BS IV,2011,2.45,14
Tata Nano XTA,2017,3.23,8
Mahindra Scorpio VLX,2014,7.75,11
Mercedes-Benz New C-Class 200 K AT,2009,9.35,16
Honda CR-V 2.4 MT,2007,5.25,18
Volkswagen Vento 1.5 TDI Comfortline AT,2015,7.25,10
Maruti Ciaz VXi Plus,2017,7.47,8
Mahindra XUV500 AT W10 FWD,2016,13.25,9
Maruti Ritz VXI ABS,2016,5.81,9
Maruti Alto K10 VXI,2014,2.6,11
Mercedes-Benz SLC 43 AMG,2017,54.0,8
Hyundai Verna VTVT 1.6 AT SX Plus,2019,11.5,6
Maruti Alto LXi BSIII,2010,1.6,15
BMW 1 Series 118d Base,2015,17.22,10
Honda Jazz 1.2 V CVT i VTEC,2015,6.0,10
Honda Civic 2006-2010 1.8 V MT,2012,3.95,13
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,17.95,11
Honda Amaze SX i-DTEC,2014,3.7,11
Maruti Swift VVT VXI,2016,5.43,9
Toyota Fortuner 3.0 Diesel,2012,13.49,13
Chevrolet Beat LT Option,2014,2.85,11
Skoda Rapid 1.5 TDI Elegance,2013,4.75,12
Maruti Ciaz 1.4 Alpha,2018,9.9,7
Audi RS5 Coupe,2013,37.0,12
BMW 3 Series Luxury Line,2014,26.5,11
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,23.32,10
Maruti Swift VDI,2016,6.25,9
Mercedes-Benz S Class 2005 2013 S 500,2010,30.0,15
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,9.86,9
Skoda Superb Elegance 2.0 TDI CR AT,2012,8.5,13
Hyundai EON Magna Plus,2019,4.23,6
Volkswagen Polo Diesel Trendline 1.2L,2012,3.5,13
Datsun GO NXT,2016,2.5,9
Honda Brio S MT,2013,2.39,12
Mercedes-Benz B Class B180,2013,11.25,12
Honda City i DTEC V,2015,7.11,10
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,10.9,9
Maruti Swift VXI Optional,2017,6.2,8
Mahindra XUV500 W8 2WD,2012,7.9,13
Ford Ecosport 1.5 DV5 MT Ambiente,2014,4.42,11
Toyota Fortuner 4x2 Manual,2012,13.5,13
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,6.25,12
Ford Figo Diesel Titanium,2010,2.1,15
BMW X5 xDrive 30d,2015,45.0,10
Mercedes-Benz New C-Class C 220 CDI Style,2017,33.66,8
Honda Brio V MT,2012,3.65,13
Hyundai i10 Magna 1.2,2013,2.75,12
Mercedes-Benz GLC 220,2016,42.5,9
Hyundai Grand i10 1.2 Kappa Asta,2019,6.5,6
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,19.0,13
Volkswagen Vento Petrol Highline AT,2013,4.45,12
Mini Countryman Cooper D,2017,23.0,8
Hyundai i20 Asta 1.4 CRDi,2014,8.35,11
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,22.95,11
Chevrolet Beat Diesel LT,2012,1.5,13
Skoda Superb Elegance 1.8 TSI AT,2012,6.89,13
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,1.45,19
BMW 5 Series 520d Luxury Line,2014,33.5,11
Chevrolet Optra Magnum 1.6 LS BS3,2007,1.25,18
Volkswagen Polo Diesel Highline 1.2L,2012,4.2,13
Renault Lodgy 110PS RxZ 8 Seater,2015,6.75,10
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,32.0,11
Maruti Baleno Alpha,2017,7.5,8
Hyundai Verna 1.6 SX,2012,4.6,13
Hyundai i10 Magna 1.1,2017,4.04,8
Mahindra Scorpio 1.99 S10 4WD,2016,10.31,9
Land Rover Range Rover 2.2L Dynamic,2018,55.76,7
Ford Figo Diesel ZXI,2010,2.6,15
Maruti Ertiga ZDI,2016,8.5,9
Honda City 1.5 GXI,2007,2.95,18
Honda Amaze S i-Dtech,2014,3.5,11
Hyundai i10 Magna,2015,3.55,10
Honda Amaze S i-Dtech,2013,3.25,12
Skoda Laura Ambiente,2008,4.5,17
Renault Duster 85PS Diesel RxL,2014,5.35,11
Mahindra NuvoSport N6,2017,6.5,8
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,9.0,9
Hyundai i20 Asta Option 1.2,2016,6.0,9
Skoda Fabia 1.4 MPI Ambiente,2009,2.75,16
Tata Indigo eCS GLX,2010,1.5,15
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,19.9,10
Skoda Octavia Elegance 1.8 TSI AT,2014,10.0,11
Toyota Etios Liva GD SP,2014,3.0,11
Maruti Swift 1.3 VXi,2010,2.11,15
Mercedes-Benz B Class B180,2014,11.96,11
Honda Amaze S Diesel,2013,3.25,12
Hyundai Verna 1.6 SX,2012,4.75,13
Renault Duster 85PS Diesel RxL Optional,2014,5.95,11
Hyundai Creta 1.6 VTVT S,2015,8.15,10
Maruti Wagon R AMT VXI,2016,4.22,9
Mercedes-Benz New C-Class C250 Avantgarde,2010,10.5,15
Audi A8 L 3.0 TDI quattro,2012,45.0,13
Hyundai i10 Magna 1.1,2012,2.9,13
Skoda Rapid 1.6 MPI AT Style Black Package,2017,8.9,8
Skoda Superb Style 1.8 TSI AT,2017,26.0,8
Hyundai i20 Active 1.2 SX,2018,8.22,7
Honda Amaze VX i-DTEC,2014,3.5,11
Maruti Wagon R LXI,2004,1.25,21
Mahindra Verito 1.5 D4 BSIV,2013,3.7,12
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.41,7
Maruti Wagon R VXI,2013,2.65,12
Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,8.92,10
Mini Cooper Convertible S,2017,35.67,8
Ford Figo Diesel,2015,3.6,10
Tata Indica V2 DLS BSII,2007,0.85,18
Chevrolet Beat LT,2016,3.32,9
Volkswagen Polo Diesel Comfortline 1.2L,2012,3.6,13
Maruti Swift ZDi,2016,6.8,9
Ford Figo Diesel EXI,2012,2.5,13
Toyota Innova Crysta 2.8 GX AT,2019,19.64,6
Hyundai Santa Fe 4x4 AT,2011,7.0,14
Honda City i-VTEC V,2011,3.87,14
Hyundai i20 1.2 Magna Executive,2018,6.27,7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,18.12,10
Chevrolet Beat Diesel LT,2013,2.65,12
Hyundai i20 Sportz 1.4 CRDi,2015,7.2,10
Toyota Innova 2.5 Z Diesel 7 Seater,2015,14.3,10
Maruti Ertiga VDI,2013,6.9,12
Toyota Innova 2.5 V Diesel 7-seater,2014,10.75,11
Honda City i VTEC V,2016,8.09,9
BMW X1 sDrive20d,2014,18.5,11
Hyundai Grand i10 CRDi Era,2017,4.75,8
Maruti Ciaz 1.3 Alpha,2016,8.45,9
Skoda Rapid Leisure 1.6 TDI MT,2012,3.5,13
Hyundai Accent CRDi,2006,1.8,19
Volkswagen Polo GT 1.5 TDI,2014,3.7,11
Honda Jazz 1.2 VX i VTEC,2017,7.17,8
Hyundai i10 Era,2010,1.75,15
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,21.99,7
Toyota Innova Crysta 2.4 ZX MT,2017,18.65,8
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,1.85,14
Maruti Swift VXI BSIV,2017,5.95,8
Hyundai Grand i10 Magna,2014,3.75,11
Maruti Swift VDI,2012,3.75,13
Hyundai Verna CRDi 1.6 SX,2008,2.6,17
Hyundai i20 1.2 Sportz,2010,2.8,15
Mercedes-Benz GLE 350d,2017,61.29,8
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,18.0,11
Maruti Ritz ZDi,2014,4.35,11
Hyundai Creta 1.6 CRDi SX,2016,13.75,9
Maruti A-Star Vxi,2010,2.0,15
Renault Duster 110PS Diesel RXZ Option,2016,10.0,9
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,1.65,15
BMW X3 xDrive30d M Sport,2017,45.77,8
Hyundai i10 Sportz,2010,3.25,15
Toyota Innova 2.5 G4 Diesel 7-seater,2016,12.8,9
Maruti Zen VXI BSII,2002,0.55,23
Maruti Swift VDI,2018,7.15,7
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2013,7.0,12
Tata Zest Quadrajet 1.3 75PS XE,2017,3.75,8
Ford EcoSport 1.0 Ecoboost Titanium Plus,2017,8.5,8
Maruti Swift Dzire ZDI,2012,4.35,13
Maruti Alto 800 LXI,2016,3.26,9
Honda City 1.5 S MT,2011,4.21,14
Audi Q7 3.0 TDI Quattro Technology,2018,70.36,7
Skoda Laura 1.9 TDI AT Ambiente,2009,2.95,16
Hyundai Verna 1.6 SX VTVT (O),2012,4.28,13
Honda City 1.5 V AT,2009,3.57,16
Hyundai i20 Magna Optional 1.4 CRDi,2013,3.11,12
Hyundai i20 Sportz AT 1.4,2014,5.96,11
Volkswagen Vento Diesel Highline,2011,4.7,14
Honda City i VTEC VX,2014,6.9,11
Tata Zest Quadrajet 1.3 75PS XE,2018,5.25,7
BMW 5 Series 2003-2012 520d,2015,28.0,10
Maruti Wagon R LXI Minor,2009,1.35,16
Honda Jazz VX,2015,4.85,10
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,2012,6.7,13
Hyundai i10 Magna 1.2,2010,3.1,15
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,18.64,10
Hyundai i10 Magna 1.2 iTech SE,2012,2.8,13
Toyota Innova Crysta 2.4 ZX MT,2016,20.25,9
Audi A6 2011-2015 2.0 TDI Technology,2015,26.78,10
Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,8.26,15
Volkswagen Polo Petrol Trendline 1.2L,2015,3.89,10
Maruti Alto K10 LXI,2011,2.1,14
Honda City i-VTEC CVT ZX,2017,12.69,8
Tata Indigo LX,2013,2.58,12
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,20.77,11
Mercedes-Benz GLA Class 200 CDI SPORT,2015,20.26,10
Maruti Celerio VXI AT,2014,4.25,11
Mercedes-Benz GLE 250d,2017,57.0,8
Land Rover Range Rover HSE Dynamic,2017,44.0,8
Volkswagen Vento Diesel Trendline,2011,3.65,14
Maruti Omni 8 Seater BSIV,2012,2.05,13
Honda Brio 1.2 VX MT,2012,3.13,13
Tata Sumo Delux,2000,1.5,25
Tata Indica Vista Aura 1.3 Quadrajet,2012,2.85,13
Maruti Wagon R LXI BS IV,2012,2.65,13
Mahindra XUV500 W8 4WD,2015,10.6,10
Tata Indigo LS Dicor,2008,1.25,17
Maruti Ertiga Paseo VXI,2018,8.25,7
Honda Accord 2.4 A/T,2011,4.45,14
Maruti Swift Dzire VDi,2012,3.7,13
Ford Fiesta EXi 1.4 TDCi Ltd,2009,2.8,16
Honda City ZX GXi,2008,1.8,17
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,21.95,11
BMW 6 Series 640d Gran Coupe,2011,49.0,14
Audi Q7 45 TDI Quattro Technology,2017,62.67,8
Hyundai i20 1.4 CRDi Asta,2012,5.5,13
Hyundai i10 Sportz AT,2009,2.95,16
Honda Jazz 1.2 V CVT i VTEC,2016,6.86,9
Maruti Swift VDI BSIV,2015,6.15,10
Hyundai i20 Asta 1.2,2011,3.3,14
Volkswagen Polo Petrol Comfortline 1.2L,2011,2.55,14
Maruti Alto LXi,2009,1.5,16
Toyota Corolla H4,2004,2.5,21
Maruti Alto LXi,2006,1.4,19
Tata Manza ELAN Quadrajet BS IV,2012,3.4,13
Maruti Alto LXi,2012,2.25,13
Skoda Octavia Ambition Plus 2.0 TDI AT,2013,7.5,12
Toyota Corolla H4,2008,2.8,17
Hyundai i20 Asta Option 1.2,2016,7.66,9
Maruti Vitara Brezza LDi,2016,7.15,9
Honda City 1.5 V MT,2010,3.5,15
Tata Indica Vista Aqua 1.3 Quadrajet,2014,3.5,11
Honda Amaze S i-Dtech,2013,3.45,12
Hyundai EON D Lite Plus,2016,3.55,9
BMW 3 Series Luxury Line,2015,25.99,10
Hyundai Verna 1.6 SX,2012,5.25,13
Tata Manza Club Class Quadrajet90 LS,2013,2.9,12
Skoda Octavia RS,2005,2.05,20
Maruti Alto K10 VXI,2017,3.75,8
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,6.75,11
Chevrolet Spark 1.0 LS,2011,0.95,14
Jaguar XF 2.0 Diesel Portfolio,2017,52.0,8
Honda CR-V RVi MT,2007,3.91,18
Skoda Superb L&K 1.8 TSI AT,2019,27.3,6
Hyundai i10 Magna 1.2,2009,2.7,16
Maruti Swift LDI,2013,3.5,12
Maruti Swift Dzire VXi AT,2016,6.2,9
Nissan Micra Diesel XV,2011,2.75,14
Maruti Swift Dzire Tour LDI,2015,3.25,10
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,3.25,13
Maruti Zen LX,2003,0.65,22
Mini Clubman Cooper S,2017,35.0,8
Toyota Etios GD,2014,3.25,11
Maruti Alto 800 2016-2019 LXI,2018,2.9,7
Maruti Alto VXi,2011,2.9,14
BMW X5 3.0d,2009,17.75,16
Nissan Teana XV,2015,8.25,10
Hyundai Grand i10 AT Asta,2015,5.77,10
Maruti Vitara Brezza ZDi Plus,2017,9.49,8
Audi Q7 3.0 TDI Quattro Premium Plus,2008,12.95,17
Mercedes-Benz GLA Class 200 CDI,2015,20.0,10
Maruti 800 AC,2007,1.0,18
Renault Duster 85PS Diesel RxL,2015,7.1,10
Toyota Corolla Altis D-4D GL,2017,16.5,8
Mercedes-Benz New C-Class 220,2014,26.0,11
Maruti Ritz VDi,2010,3.2,15
Honda BRV i-VTEC V CVT,2017,9.48,8
Hyundai Xcent 1.1 CRDi Base,2015,4.0,10
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2014,26.5,11
Mercedes-Benz B Class B180,2014,11.77,11
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,37.0,8
Honda City i VTEC VX Option,2016,8.75,9
Honda City 1.5 S MT,2011,3.75,14
Hyundai Verna Transform VTVT,2010,2.5,15
Jaguar XE Portfolio,2017,34.5,8
Honda Amaze S i-Vtech,2015,4.65,10
Mini Cooper Convertible 1.6,2015,32.0,10
Mercedes-Benz S Class 2005 2013 S 350 CDI,2017,62.81,8
Hyundai EON Magna Plus,2014,3.25,11
Maruti Wagon R VXI BS IV,2014,3.1,11
Maruti Ritz LDi,2011,3.91,14
BMW 3 Series 320d Sedan,2011,11.0,14
Tata Xenon XT EX 4X2,2014,3.5,11
Audi A3 35 TDI Attraction,2014,16.5,11
Land Rover Range Rover 2.2L Dynamic,2012,30.0,13
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2010,28.0,15
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,2018,28.0,7
Maruti Alto LX,2010,0.92,15
Maruti Wagon R LXI BSIII,2013,2.75,12
Land Rover Range Rover 2.2L Prestige,2017,53.83,8
Hyundai Verna 1.6 SX VTVT,2011,4.95,14
BMW 5 Series 525d Sedan,2013,33.5,12
Jaguar XF Diesel,2013,27.95,12
Skoda Superb Elegance 1.8 TSI AT,2010,7.25,15
Audi Q3 35 TDI Quattro Premium,2017,25.71,8
Land Rover Range Rover 2.2L Pure,2014,29.67,11
Mercedes-Benz New C-Class 220 CDI AT,2013,19.0,12
Mahindra Scorpio S10 4WD,2017,13.05,8
BMW 3 Series Luxury Line,2015,25.5,10
Honda BR-V i-VTEC S MT,2017,8.5,8
Volvo S80 2006-2013 D5,2010,7.25,15
Hyundai Accent GLE,2005,0.8,20
Hyundai i20 Active SX Petrol,2017,6.9,8
Mercedes-Benz GLC 43 AMG Coupe,2018,70.99,7
Hyundai EON Magna Plus,2015,2.25,10
Hyundai Grand i10 SportZ Edition,2018,5.5,7
Honda City 1.5 EXI S,2013,4.35,12
Volkswagen Polo Petrol Trendline 1.2L,2010,2.25,15
Audi A6 35 TFSI Matrix,2016,24.5,9
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,12.03,8
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,8.5,14
Mini Cooper Convertible S,2014,28.5,11
Toyota Etios VD,2013,5.75,12
Honda Brio S MT,2014,3.2,11
Maruti Baleno Alpha Automatic,2018,9.89,7
Skoda Laura Ambiente 2.0 TDI CR AT,2012,6.58,13
Hyundai EON Era Plus,2018,4.06,7
Renault Captur 1.5 Diesel RXL,2019,13.37,6
BMW 5 Series 2003-2012 GT 530d LE,2011,25.82,14
Maruti Alto 800 LXI,2016,3.74,9
Volvo V40 D3,2015,22.0,10
Maruti Wagon R LXI BSII,2007,1.45,18
Honda City ZX GXi,2008,2.0,17
Chevrolet Enjoy 1.4 LS 8,2014,3.75,11
Mahindra Bolero ZLX,2016,7.7,9
Hyundai EON D Lite,2014,2.6,11
Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,13.77,8
Volkswagen Vento 1.6 Comfortline,2017,7.1,8
Honda Civic 2006-2010 1.8 S AT,2008,2.65,17
Tata Indica Vista Quadrajet LS,2014,2.5,11
Mahindra XUV500 W8 2WD,2013,7.53,12
Hyundai i20 1.2 Asta Option,2017,7.98,8
Audi Q5 30 TDI quattro Premium Plus,2014,39.0,11
Maruti Ritz VXi,2011,2.25,14
Mitsubishi Cedia Sports,2010,3.85,15
Toyota Innova 2.5 V Diesel 7-seater,2015,13.5,10
Maruti Celerio LDi,2016,3.5,9
Maruti S-Cross Delta DDiS 200 SH,2018,8.92,7
Audi Q3 35 TDI Quattro Premium Plus,2016,20.37,9
BMW 3 Series Luxury Line,2016,36.5,9
Audi Q7 4.2 TDI Quattro Technology,2016,48.91,9
Hyundai i20 2015-2017 Asta 1.2,2016,7.2,9
Renault Duster 110PS Diesel RxL,2012,5.99,13
Hyundai Xcent 1.1 CRDi S Celebration Edition,2016,5.25,9
Ford Ecosport 1.5 DV5 MT Titanium,2014,6.5,11
Volkswagen Polo Petrol Trendline 1.2L,2013,4.4,12
Hyundai Grand i10 CRDi Magna,2017,4.6,8
Tata Manza Aqua Quadrajet BS IV,2013,2.95,12
Honda City 1.5 V MT,2011,3.26,14
Hyundai Santro Xing GLS,2008,2.22,17
Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,10.5,13
Maruti Ciaz 1.3 S,2017,8.26,8
Toyota Fortuner 4x4 MT TRD Sportivo,2013,14.45,12
Mercedes-Benz E-Class E 220 d,2018,51.43,7
Mercedes-Benz New C-Class 220 CDI MT,2014,23.0,11
Skoda Yeti Ambition 4X2,2012,5.5,13
Hyundai Grand i10 Sportz,2015,4.5,10
Ford Figo 2015-2019 1.2P Titanium MT,2018,6.8,7
Skoda Octavia Ambition 1.4 TSI MT,2013,8.75,12
Renault Duster 85PS Diesel RxL Option,2015,7.0,10
Land Rover Range Rover Evoque 2.0 TD4 Pure,2015,33.5,10
Ford Figo Diesel EXI,2011,2.25,14
Ford Endeavour Hurricane Limited Edition,2008,4.24,17
Toyota Fortuner 4x4 MT,2017,28.42,8
Volkswagen Polo Diesel Comfortline 1.2L,2012,2.75,13
Maruti Ritz VDi,2011,3.0,14
Nissan Micra Diesel XV Premium,2013,3.55,12
Hyundai Verna 1.6 SX,2013,4.8,12
BMW 5 Series 2003-2012 523i,2011,13.5,14
Mercedes-Benz GLS 350d 4MATIC,2017,56.0,8
Honda CR-V 2.4L 4WD AT,2004,3.99,21
Hyundai Creta 1.6 CRDi AT SX Plus,2016,15.5,9
Hyundai i10 Era,2010,2.32,15
Mercedes-Benz A Class A200 CDI Sport,2016,18.58,9
Maruti Ertiga VXI,2014,5.5,11
Skoda Octavia Classic 1.9 TDI MT,2006,3.2,19
Honda Amaze VX i-Vtech,2015,4.0,10
Maruti Zen LXi BSII,2004,1.6,21
Maruti SX4 ZXI MT BSIV,2013,4.15,12
Honda Brio VX AT,2014,4.25,11
Maruti Wagon R VXI,2011,2.6,14
Toyota Camry A/T,2008,3.43,17
Chevrolet Beat LS,2012,2.55,13
Toyota Fortuner 4x4 AT,2017,32.0,8
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,6.25,11
Maruti Swift Vdi BSIII,2010,3.6,15
Mercedes-Benz S Class 2005 2013 S 350 CDI,2010,18.5,15
Honda Mobilio S i VTEC,2015,4.25,10
Hyundai Grand i10 Sportz,2017,4.8,8
Mahindra XUV500 AT W8 FWD,2015,13.0,10
Skoda Fabia 1.6 MPI Elegance,2012,2.25,13
Hyundai Santro Xing GLS,2009,2.3,16
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2019,13.56,6
Mahindra Scorpio 1.99 S8,2017,12.25,8
Skoda Rapid 1.6 TDI Ambition,2013,3.76,12
Renault Duster 110PS Diesel RxZ,2015,8.58,10
BMW X5 xDrive 30d,2011,27.5,14
Toyota Etios G,2013,4.95,12
Maruti Wagon R LXI,2012,3.3,13
Hyundai Creta 1.6 SX,2016,8.0,9
Maruti Celerio VXI,2014,2.79,11
Land Rover Range Rover HSE Dynamic,2017,45.64,8
Chevrolet Beat LT,2014,2.55,11
Tata Nano Twist XT,2014,1.0,11
Audi A6 2011-2015 35 TDI Technology,2017,37.56,8
Mercedes-Benz E-Class 280 CDI,2009,9.29,16
Maruti Swift VXI,2019,6.37,6
Fiat Linea T Jet,2013,2.98,12
Maruti Swift VXI Optional,2017,5.75,8
Toyota Fortuner 3.0 Diesel,2010,13.0,15
Maruti Ertiga ZXI,2014,6.8,11
BMW 3 Series 320i Sedan,2010,10.49,15
Maruti Ertiga VXI,2014,5.6,11
Honda City 1.5 V AT,2010,2.85,15
Hyundai Santa Fe 4X4,2013,8.36,12
Tata Indigo LS,2005,1.0,20
