Name,Year,Price,Car_Age
Mercedes-Benz B Class B200 CDI,2014,16.75,11
Maruti Wagon R LXI BS IV,2011,2.45,14
Mahindra Scorpio VLX,2014,7.75,11
Mercedes-Benz New C-Class 200 K AT,2009,9.35,16
Honda CR-V 2.4 MT,2007,5.25,18
Maruti Alto K10 VXI,2014,2.6,11
Maruti Alto LXi BSIII,2010,1.6,15
Honda Civic 2006-2010 1.8 V MT,2012,3.95,13
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,17.95,11
Honda Amaze SX i-DTEC,2014,3.7,11
Toyota Fortuner 3.0 Diesel,2012,13.49,13
Chevrolet Beat LT Option,2014,2.85,11
Skoda Rapid 1.5 TDI Elegance,2013,4.75,12
Audi RS5 Coupe,2013,37.0,12
BMW 3 Series Luxury Line,2014,26.5,11
Mercedes-Benz S Class 2005 2013 S 500,2010,30.0,15
Skoda Superb Elegance 2.0 TDI CR AT,2012,8.5,13
Volkswagen Polo Diesel Trendline 1.2L,2012,3.5,13
Honda Brio S MT,2013,2.39,12
Mercedes-Benz B Class B180,2013,11.25,12
Mahindra XUV500 W8 2WD,2012,7.9,13
Ford Ecosport 1.5 DV5 MT Ambiente,2014,4.42,11
Toyota Fortuner 4x2 Manual,2012,13.5,13
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,6.25,12
Ford Figo Diesel Titanium,2010,2.1,15
Honda Brio V MT,2012,3.65,13
Hyundai i10 Magna 1.2,2013,2.75,12
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,19.0,13
Volkswagen Vento Petrol Highline AT,2013,4.45,12
Hyundai i20 Asta 1.4 CRDi,2014,8.35,11
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,22.95,11
Chevrolet Beat Diesel LT,2012,1.5,13
Skoda Superb Elegance 1.8 TSI AT,2012,6.89,13
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,1.45,19
BMW 5 Series 520d Luxury Line,2014,33.5,11
Chevrolet Optra Magnum 1.6 LS BS3,2007,1.25,18
Volkswagen Polo Diesel Highline 1.2L,2012,4.2,13
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,32.0,11
Hyundai Verna 1.6 SX,2012,4.6,13
Ford Figo Diesel ZXI,2010,2.6,15
Honda City 1.5 GXI,2007,2.95,18
Honda Amaze S i-Dtech,2014,3.5,11
Honda Amaze S i-Dtech,2013,3.25,12
Skoda Laura Ambiente,2008,4.5,17
Renault Duster 85PS Diesel RxL,2014,5.35,11
Skoda Fabia 1.4 MPI Ambiente,2009,2.75,16
Tata Indigo eCS GLX,2010,1.5,15
Skoda Octavia Elegance 1.8 TSI AT,2014,10.0,11
Toyota Etios Liva GD SP,2014,3.0,11
Maruti Swift 1.3 VXi,2010,2.11,15
Mercedes-Benz B Class B180,2014,11.96,11
Honda Amaze S Diesel,2013,3.25,12
Hyundai Verna 1.6 SX,2012,4.75,13
Renault Duster 85PS Diesel RxL Optional,2014,5.95,11
Mercedes-Benz New C-Class C250 Avantgarde,2010,10.5,15
Audi A8 L 3.0 TDI quattro,2012,45.0,13
Hyundai i10 Magna 1.1,2012,2.9,13
Honda Amaze VX i-DTEC,2014,3.5,11
Maruti Wagon R LXI,2004,1.25,21
Mahindra Verito 1.5 D4 BSIV,2013,3.7,12
Maruti Wagon R VXI,2013,2.65,12
Tata Indica V2 DLS BSII,2007,0.85,18
Volkswagen Polo Diesel Comfortline 1.2L,2012,3.6,13
Ford Figo Diesel EXI,2012,2.5,13
Hyundai Santa Fe 4x4 AT,2011,7.0,14
Honda City i-VTEC V,2011,3.87,14
Chevrolet Beat Diesel LT,2013,2.65,12
Maruti Ertiga VDI,2013,6.9,12
Toyota Innova 2.5 V Diesel 7-seater,2014,10.75,11
BMW X1 sDrive20d,2014,18.5,11
Skoda Rapid Leisure 1.6 TDI MT,2012,3.5,13
Hyundai Accent CRDi,2006,1.8,19
Volkswagen Polo GT 1.5 TDI,2014,3.7,11
Hyundai i10 Era,2010,1.75,15
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,1.85,14
Hyundai Grand i10 Magna,2014,3.75,11
Maruti Swift VDI,2012,3.75,13
Hyundai Verna CRDi 1.6 SX,2008,2.6,17
Hyundai i20 1.2 Sportz,2010,2.8,15
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,18.0,11
Maruti Ritz ZDi,2014,4.35,11
Maruti A-Star Vxi,2010,2.0,15
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,1.65,15
Hyundai i10 Sportz,2010,3.25,15
Maruti Zen VXI BSII,2002,0.55,23
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2013,7.0,12
Maruti Swift Dzire ZDI,2012,4.35,13
Honda City 1.5 S MT,2011,4.21,14
Skoda Laura 1.9 TDI AT Ambiente,2009,2.95,16
Hyundai Verna 1.6 SX VTVT (O),2012,4.28,13
Honda City 1.5 V AT,2009,3.57,16
Hyundai i20 Magna Optional 1.4 CRDi,2013,3.11,12
Hyundai i20 Sportz AT 1.4,2014,5.96,11
Volkswagen Vento Diesel Highline,2011,4.7,14
Honda City i VTEC VX,2014,6.9,11
Maruti Wagon R LXI Minor,2009,1.35,16
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,2012,6.7,13
Hyundai i10 Magna 1.2,2010,3.1,15
Hyundai i10 Magna 1.2 iTech SE,2012,2.8,13
Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,8.26,15
Maruti Alto K10 LXI,2011,2.1,14
Tata Indigo LX,2013,2.58,12
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,20.77,11
Maruti Celerio VXI AT,2014,4.25,11
Volkswagen Vento Diesel Trendline,2011,3.65,14
Maruti Omni 8 Seater BSIV,2012,2.05,13
Honda Brio 1.2 VX MT,2012,3.13,13
Tata Sumo Delux,2000,1.5,25
Tata Indica Vista Aura 1.3 Quadrajet,2012,2.85,13
Maruti Wagon R LXI BS IV,2012,2.65,13
Tata Indigo LS Dicor,2008,1.25,17
Honda Accord 2.4 A/T,2011,4.45,14
Maruti Swift Dzire VDi,2012,3.7,13
Ford Fiesta EXi 1.4 TDCi Ltd,2009,2.8,16
Honda City ZX GXi,2008,1.8,17
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,21.95,11
BMW 6 Series 640d Gran Coupe,2011,49.0,14
Hyundai i20 1.4 CRDi Asta,2012,5.5,13
Hyundai i10 Sportz AT,2009,2.95,16
Hyundai i20 Asta 1.2,2011,3.3,14
Volkswagen Polo Petrol Comfortline 1.2L,2011,2.55,14
Maruti Alto LXi,2009,1.5,16
Toyota Corolla H4,2004,2.5,21
Maruti Alto LXi,2006,1.4,19
Tata Manza ELAN Quadrajet BS IV,2012,3.4,13
Maruti Alto LXi,2012,2.25,13
Skoda Octavia Ambition Plus 2.0 TDI AT,2013,7.5,12
Toyota Corolla H4,2008,2.8,17
Honda City 1.5 V MT,2010,3.5,15
Tata Indica Vista Aqua 1.3 Quadrajet,2014,3.5,11
Honda Amaze S i-Dtech,2013,3.45,12
Hyundai Verna 1.6 SX,2012,5.25,13
Tata Manza Club Class Quadrajet90 LS,2013,2.9,12
Skoda Octavia RS,2005,2.05,20
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,6.75,11
Chevrolet Spark 1.0 LS,2011,0.95,14
Honda CR-V RVi MT,2007,3.91,18
Hyundai i10 Magna 1.2,2009,2.7,16
Maruti Swift LDI,2013,3.5,12
Nissan Micra Diesel XV,2011,2.75,14
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,3.25,13
Maruti Zen LX,2003,0.65,22
Toyota Etios GD,2014,3.25,11
Maruti Alto VXi,2011,2.9,14
BMW X5 3.0d,2009,17.75,16
Audi Q7 3.0 TDI Quattro Premium Plus,2008,12.95,17
Maruti 800 AC,2007,1.0,18
Mercedes-Benz New C-Class 220,2014,26.0,11
Maruti Ritz VDi,2010,3.2,15
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2014,26.5,11
Mercedes-Benz B Class B180,2014,11.77,11
Honda City 1.5 S MT,2011,3.75,14
Hyundai Verna Transform VTVT,2010,2.5,15
Hyundai EON Magna Plus,2014,3.25,11
Maruti Wagon R VXI BS IV,2014,3.1,11
Maruti Ritz LDi,2011,3.91,14
BMW 3 Series 320d Sedan,2011,11.0,14
Tata Xenon XT EX 4X2,2014,3.5,11
Audi A3 35 TDI Attraction,2014,16.5,11
Land Rover Range Rover 2.2L Dynamic,2012,30.0,13
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2010,28.0,15
Maruti Alto LX,2010,0.92,15
Maruti Wagon R LXI BSIII,2013,2.75,12
Hyundai Verna 1.6 SX VTVT,2011,4.95,14
BMW 5 Series 525d Sedan,2013,33.5,12
Jaguar XF Diesel,2013,27.95,12
Skoda Superb Elegance 1.8 TSI AT,2010,7.25,15
Land Rover Range Rover 2.2L Pure,2014,29.67,11
Mercedes-Benz New C-Class 220 CDI AT,2013,19.0,12
Volvo S80 2006-2013 D5,2010,7.25,15
Hyundai Accent GLE,2005,0.8,20
Honda City 1.5 EXI S,2013,4.35,12
Volkswagen Polo Petrol Trendline 1.2L,2010,2.25,15
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,8.5,14
Mini Cooper Convertible S,2014,28.5,11
Toyota Etios VD,2013,5.75,12
Honda Brio S MT,2014,3.2,11
Skoda Laura Ambiente 2.0 TDI CR AT,2012,6.58,13
BMW 5 Series 2003-2012 GT 530d LE,2011,25.82,14
Maruti Wagon R LXI BSII,2007,1.45,18
Honda City ZX GXi,2008,2.0,17
Chevrolet Enjoy 1.4 LS 8,2014,3.75,11
Hyundai EON D Lite,2014,2.6,11
Honda Civic 2006-2010 1.8 S AT,2008,2.65,17
Tata Indica Vista Quadrajet LS,2014,2.5,11
Mahindra XUV500 W8 2WD,2013,7.53,12
Audi Q5 30 TDI quattro Premium Plus,2014,39.0,11
Maruti Ritz VXi,2011,2.25,14
Mitsubishi Cedia Sports,2010,3.85,15
Renault Duster 110PS Diesel RxL,2012,5.99,13
Ford Ecosport 1.5 DV5 MT Titanium,2014,6.5,11
Volkswagen Polo Petrol Trendline 1.2L,2013,4.4,12
Tata Manza Aqua Quadrajet BS IV,2013,2.95,12
Honda City 1.5 V MT,2011,3.26,14
Hyundai Santro Xing GLS,2008,2.22,17
Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,10.5,13
Toyota Fortuner 4x4 MT TRD Sportivo,2013,14.45,12
Mercedes-Benz New C-Class 220 CDI MT,2014,23.0,11
Skoda Yeti Ambition 4X2,2012,5.5,13
Skoda Octavia Ambition 1.4 TSI MT,2013,8.75,12
Ford Figo Diesel EXI,2011,2.25,14
Ford Endeavour Hurricane Limited Edition,2008,4.24,17
Volkswagen Polo Diesel Comfortline 1.2L,2012,2.75,13
Maruti Ritz VDi,2011,3.0,14
Nissan Micra Diesel XV Premium,2013,3.55,12
Hyundai Verna 1.6 SX,2013,4.8,12
BMW 5 Series 2003-2012 523i,2011,13.5,14
Honda CR-V 2.4L 4WD AT,2004,3.99,21
Hyundai i10 Era,2010,2.32,15
Maruti Ertiga VXI,2014,5.5,11
Skoda Octavia Classic 1.9 TDI MT,2006,3.2,19
Maruti Zen LXi BSII,2004,1.6,21
Maruti SX4 ZXI MT BSIV,2013,4.15,12
Honda Brio VX AT,2014,4.25,11
Maruti Wagon R VXI,2011,2.6,14
Toyota Camry A/T,2008,3.43,17
Chevrolet Beat LS,2012,2.55,13
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,6.25,11
Maruti Swift Vdi BSIII,2010,3.6,15
Mercedes-Benz S Class 2005 2013 S 350 CDI,2010,18.5,15
Skoda Fabia 1.6 MPI Elegance,2012,2.25,13
Hyundai Santro Xing GLS,2009,2.3,16
Skoda Rapid 1.6 TDI Ambition,2013,3.76,12
BMW X5 xDrive 30d,2011,27.5,14
Toyota Etios G,2013,4.95,12
Maruti Wagon R LXI,2012,3.3,13
Maruti Celerio VXI,2014,2.79,11
Chevrolet Beat LT,2014,2.55,11
Tata Nano Twist XT,2014,1.0,11
Mercedes-Benz E-Class 280 CDI,2009,9.29,16
Fiat Linea T Jet,2013,2.98,12
Toyota Fortuner 3.0 Diesel,2010,13.0,15
Maruti Ertiga ZXI,2014,6.8,11
BMW 3 Series 320i Sedan,2010,10.49,15
Maruti Ertiga VXI,2014,5.6,11
Honda City 1.5 V AT,2010,2.85,15
Hyundai Santa Fe 4X4,2013,8.36,12
Tata Indigo LS,2005,1.0,20
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2010,10.75,15
Maruti Swift Dzire LDi,2011,3.85,14
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,3.0,13
Toyota Fortuner 4x2 Manual,2012,13.25,13
Hyundai i20 Asta 1.4 CRDi,2014,6.75,11
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,4.85,12
Maruti SX4 ZXI AT Leather,2009,2.85,16
Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,9.51,13
BMW 5 Series 2003-2012 520d,2012,18.5,13
Honda City ZX GXi,2009,3.29,16
Maruti Swift Dzire VXi,2010,2.2,15
Mahindra XUV500 W6 2WD,2012,6.5,13
Honda Civic 2006-2010 1.8 S MT,2007,4.9,18
Maruti Ertiga ZDI,2013,6.75,12
Toyota Etios Liva GD,2013,3.8,12
Audi TT 2.0 TFSI,2013,29.5,12
Skoda Laura 1.9 TDI AT Elegance,2009,5.0,16
Mahindra Renault Logan 1.5 DLE Diesel,2007,2.3,18
BMW 3 Series 320d Luxury Line,2014,25.5,11
Toyota Corolla Altis 1.8 Sport,2010,5.0,15
Honda City 1.5 V MT,2011,3.35,14
Maruti Swift ZXI,2013,4.45,12
Mahindra Bolero ZLX,2012,6.0,13
Maruti Swift VDI,2014,5.25,11
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,12.3,13
Ford Ikon 1.3 LXi NXt,2004,1.5,21
Mahindra Bolero VLX CRDe,2012,6.12,13
Chevrolet Sail Hatchback 1.2 LS,2014,3.5,11
BMW X1 sDrive 20d Exclusive,2012,13.5,13
Audi Q7 4.2 TDI Quattro Technology,2014,29.77,11
Maruti Ertiga VDI,2013,5.95,12
Mercedes-Benz S Class 2005 2013 S 350 L,2006,19.0,19
Renault Duster 85PS Diesel RxL,2014,4.75,11
Mahindra Quanto C2,2013,3.3,12
Toyota Fortuner 4x2 AT,2013,16.5,12
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,44.0,11
Maruti Swift Dzire VDi,2011,4.39,14
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,2008,5.45,17
Maruti Omni 8 Seater BSII,2010,1.45,15
Nissan Terrano XL 85 PS,2014,6.9,11
Hyundai Verna 1.6 SX CRDi (O),2012,5.8,13
Audi Q7 3.0 TDI Quattro Premium Plus,2009,12.0,16
Chevrolet Aveo U-VA 1.2 LT,2010,2.44,15
Mahindra Bolero ZLX BSIII,2000,1.95,25
Hyundai Xcent 1.2 Kappa S,2014,4.35,11
Volkswagen Polo Diesel Comfortline 1.2L,2013,2.9,12
BMW 3 Series 320d Prestige,2013,16.75,12
Honda City 1.5 S MT,2009,2.1,16
Honda Accord 2.4 MT,2011,4.29,14
Mahindra Xylo E8,2009,3.85,16
BMW 3 Series 320d,2009,9.0,16
Honda City V MT,2013,4.5,12
Hyundai i20 Asta 1.4 CRDi,2014,4.65,11
Toyota Fortuner 4x2 Manual,2014,20.5,11
Mahindra Bolero DI BSII,2006,2.9,19
Maruti Esteem Vxi - BSIII,2007,1.45,18
Hyundai i20 Sportz Option,2013,3.5,12
Volkswagen Jetta 2013-2015 2.0L TDI Highline,2013,5.9,12
Ford Ikon 1.3 CLXi,2007,1.25,18
Hyundai i10 Sportz,2013,2.65,12
BMW 3 Series 320d Highline,2014,23.5,11
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,2011,12.5,14
Chevrolet Beat Option Pack,2010,1.5,15
Mahindra XUV500 W8 2WD,2012,8.1,13
Honda City ZX CVT,2005,1.96,20
Maruti Alto K10 VXI,2011,2.75,14
Hyundai i20 1.4 Magna ABS,2009,2.8,16
Toyota Corolla Executive (HE),2007,3.0,18
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,23.89,11
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2014,12.75,11
Hyundai Grand i10 CRDi Sportz,2014,4.15,11
Volkswagen Vento IPL II Petrol Highline AT,2013,4.65,12
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2012,8.9,13
Hyundai Verna CRDi SX,2008,1.5,17
Audi Q7 3.0 TDI Quattro Technology,2008,18.0,17
Honda City i VTEC S,2014,6.16,11
Maruti Ciaz ZXi,2014,6.0,11
Nissan Sunny XV CVT,2013,5.43,12
Volkswagen Polo Diesel Highline 1.2L,2012,4.65,13
Mercedes-Benz New C-Class C 220 CDI Elegance AT,2007,9.25,18
Honda Brio S MT,2013,3.15,12
Hyundai i10 Magna Optional 1.1L,2008,2.3,17
Hyundai Verna 1.6 SX CRDi (O),2012,5.25,13
Ford Ikon 1.3 Flair,2006,1.55,19
Honda Amaze EX i-Dtech,2013,4.7,12
Maruti Ritz VDi,2012,3.55,13
Honda City V MT,2014,7.1,11
Skoda Superb 1.8 TSI MT,2010,6.0,15
Hyundai i20 Asta,2009,4.1,16
Hyundai i10 Sportz,2011,2.75,14
Audi A6 2.0 TDI Design Edition,2014,29.0,11
Ford EcoSport 1.5 TDCi Titanium,2013,6.6,12
Volkswagen Passat Highline DSG,2012,6.99,13
Ford Figo Diesel ZXI,2010,1.28,15
Chevrolet Aveo 1.4,2006,1.2,19
Maruti Ritz LXi,2013,4.31,12
Land Rover Freelander 2 SE,2011,16.5,14
Audi Q5 2008-2012 2.0 TDI,2013,25.46,12
Mercedes-Benz M-Class ML 350 4Matic,2014,30.0,11
Maruti Swift Dzire ZXi,2008,2.85,17
Honda City 1.3 EXI S,2011,3.5,14
Renault Duster 85PS Diesel RxL Optional,2014,7.5,11
Mercedes-Benz New C-Class 220 CDI AT,2012,19.0,13
BMW 3 Series 320d Corporate Edition,2013,17.0,12
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,19.5,12
Mini Cooper S,2012,17.0,13
Chevrolet Beat Diesel LT,2012,2.65,13
Hyundai i20 1.2 Magna,2010,3.25,15
Hyundai Verna Transform VTVT,2010,3.1,15
Honda City i-VTEC V,2014,5.7,11
Maruti Swift 1.3 VXi,2006,1.75,19
Maruti Swift VDI BSIV,2012,2.9,13
Hyundai Accent GLS,2008,2.0,17
Maruti Celerio VXI AMT,2014,3.2,11
Volkswagen Vento Petrol Highline,2012,3.8,13
Volkswagen Jetta 2007-2011 1.9 Highline TDI,2009,4.0,16
Mini Cooper 5 DOOR D,2014,23.5,11
Tata Indica V2 DLS,2008,1.15,17
Land Rover Range Rover 3.0 D,2008,26.5,17
Chevrolet Cruze LTZ,2011,4.2,14
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2014,15.46,11
Toyota Etios G,2013,3.25,12
Maruti Alto LXi BSIII,2012,2.6,13
Maruti A-Star Vxi,2009,1.8,16
Tata Nano Lx BSIV,2011,1.6,14
Fiat Linea Emotion,2011,2.5,14
Maruti Baleno LXI,2005,1.2,20
Mahindra Scorpio 2.6 DX,2005,1.94,20
Chevrolet Cruze LTZ AT,2011,3.8,14
Maruti Ritz VXi,2011,1.5,14
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,2013,8.85,12
Toyota Fortuner 4x4 MT,2013,17.9,12
Hyundai i10 Sportz AT,2014,5.08,11
Hyundai Verna 1.6 SX,2012,6.25,13
Chevrolet Beat LS,2010,1.46,15
Ford Fiesta 1.4 Duratorq ZXI,2007,2.05,18
Ford Figo Diesel EXI,2014,4.08,11
Maruti Celerio VXI AT,2014,4.55,11
Mercedes-Benz A Class A180 CDI,2013,14.0,12
Maruti Wagon R VXI BS IV,2010,2.45,15
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,2013,15.8,12
Renault Koleos 2.0 Diesel,2013,8.5,12
Maruti Omni E 8 Str STD,2013,2.35,12
Ford Endeavour XLT TDCi 4X2,2008,3.9,17
Hyundai Verna 1.6 SX,2011,5.2,14
Maruti Ertiga ZXI,2013,6.25,12
Volkswagen Polo Diesel Comfortline 1.2L,2011,4.1,14
Toyota Fortuner 4x4 MT,2011,11.99,14
Maruti Swift Dzire VDI,2013,4.75,12
Hyundai Verna 1.6 SX VTVT,2014,5.6,11
Honda City 1.5 V MT Sunroof,2013,4.95,12
Hyundai Verna 1.6 SX VTVT (O),2013,4.5,12
Maruti Ertiga ZDI,2013,6.56,12
Maruti Alto K10 LXI,2014,2.3,11
Toyota Qualis FS B2,2004,3.5,21
Skoda Laura 1.9 TDI AT Ambiente,2009,7.75,16
BMW 5 Series 2003-2012 530d Highline,2013,23.29,12
Chevrolet Aveo 1.4 LT ABS BSIV,2010,1.79,15
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2011,13.9,14
Audi A6 2011-2015 2.0 TDI Premium Plus,2013,18.95,12
Maruti Wagon R LXI BS IV,2014,2.49,11
Volkswagen Polo Diesel Comfortline 1.2L,2013,4.25,12
Maruti Alto 800 LXI,2014,2.75,11
Hyundai i20 1.2 Sportz,2012,3.5,13
Maruti Wagon R LXI Optional,2014,2.75,11
Maruti Swift ZXI,2014,6.21,11
Hyundai i10 Magna 1.1,2014,4.09,11
Skoda Octavia Elegance 2.0 TDI AT,2014,10.75,11
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,41.5,11
Maruti Celerio VXI AT,2014,4.4,11
Volkswagen Vento Diesel Comfortline,2013,6.25,12
BMW 3 Series 320d Highline,2011,10.5,14
Maruti Ertiga ZDI,2014,7.25,11
Ford Figo Diesel ZXI,2013,3.2,12
Volkswagen Polo 1.2 MPI Highline,2014,3.95,11
Audi A6 3.0 TDI quattro,2009,12.07,16
Hyundai Verna 1.6 CRDi EX AT,2013,5.7,12
Hyundai Santro Xing GL Plus,2013,1.75,12
Audi A4 2.0 TDI,2011,10.99,14
Audi A4 2.0 TDI,2012,14.5,13
Skoda Laura 1.9 TDI MT Ambiente,2009,3.11,16
Honda Mobilio RS i DTEC,2014,6.9,11
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,5.5,14
Hyundai i20 Magna 1.2,2014,5.35,11
Mahindra Bolero VLX BS IV,2011,4.5,14
Volkswagen Vento 1.5 TDI Comfortline,2014,4.75,11
Maruti Zen LXi - BS III,2005,0.7,20
Toyota Fortuner 3.0 Diesel,2010,10.99,15
Hyundai i10 Sportz,2010,2.9,15
Audi A4 2.0 TDI Multitronic,2011,12.5,14
Honda City i DTEC VX,2014,6.75,11
Mahindra XUV500 W8 2WD,2011,5.5,14
Hyundai i10 Magna,2010,2.6,15
Hyundai i10 Magna 1.1,2014,3.41,11
Maruti Dzire VXI,2011,2.7,14
Maruti Grand Vitara AT,2008,5.5,17
Audi TT 40 TFSI,2012,35.0,13
Mercedes-Benz New C-Class C 200 CGI,2011,9.75,14
Nissan Sunny 2011-2014 Diesel XV,2013,4.25,12
Maruti Swift Dzire ZDI,2014,6.85,11
Maruti Swift ZDI,2012,3.55,13
Mahindra Scorpio LX 2.6 Turbo,2008,3.6,17
Toyota Fortuner 4x2 Manual,2012,13.5,13
Honda City V MT,2010,3.75,15
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,2012,5.64,13
Audi A6 2011-2015 2.0 TDI,2013,23.99,12
Maruti Swift Dzire Vdi BSIV,2008,2.85,17
Renault Duster 110PS Diesel RxZ Pack,2012,6.35,13
